Activity,Flow Name,Flow Location,LCIA Method,Unit,Absolute Contribution,Percentage Contribution
Copper,gold mine operation and refining,ZA,Total EQ,PDF.m2.yr,4.288388129169644e-05,0.00010897208873537654
Copper,"electrorefining of copper, anode",JP,Total EQ,PDF.m2.yr,4.190787610527712e-05,0.00010649196518832093
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",US,Total EQ,PDF.m2.yr,3.8346387958045506e-05,9.744187945167228e-05
Copper,"copper production, cathode, solvent extraction and electrowinning process",AT,Total EQ,PDF.m2.yr,3.4409708436793016e-05,8.743839615698902e-05
Copper,gold mine operation and refining,BE,Total EQ,PDF.m2.yr,3.306839833605516e-05,8.402999750190823e-05
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",CD,Total EQ,PDF.m2.yr,2.940431492770967e-05,7.471920728699925e-05
Copper,"copper production, cathode, solvent extraction and electrowinning process",CN,Total EQ,PDF.m2.yr,2.8418532415342907e-05,7.221423860935734e-05
Copper,treatment of copper cake,ZA,Total EQ,PDF.m2.yr,2.6551993480220037e-05,6.747118270257707e-05
Copper,"platinum group metal, extraction and refinery operations",ZA,Total EQ,PDF.m2.yr,2.625699843643567e-05,6.672157177372697e-05
Copper,"platinum group metal, extraction and refinery operations",BE,Total EQ,PDF.m2.yr,2.3638720797429318e-05,6.0068275135978394e-05
Copper,treatment of copper cake,BE,Total EQ,PDF.m2.yr,2.2316113270334448e-05,5.670740152884606e-05
Copper,primary zinc production from concentrate,ZM,Total EQ,PDF.m2.yr,1.982316869196896e-05,5.0372588316437e-05
Copper,cobalt production,BR,Total EQ,PDF.m2.yr,1.6373464646661283e-05,4.160655679100125e-05
Copper,"treatment of metal part of electronics scrap, in copper, anode, by electrolytic refining",RU,Total EQ,PDF.m2.yr,1.6099796706903723e-05,4.0911140095566484e-05
Copper,cobalt production,DE,Total EQ,PDF.m2.yr,1.5382890430586648e-05,3.9089411930935554e-05
