REF_DATE,GEO,North American Industry Classification System (NAICS),Energy types,UOM,VALUE
2019,Canada,Other metal ore mining [21229],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,Other metal ore mining [21229],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Other metal ore mining [21229],"Gasoline - motor, quantity purchased (litres)",Litres,745120.0
2019,Canada,Other metal ore mining [21229],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Other metal ore mining [21229],"Diesel fuel, quantity purchased (litres)",Litres,13772944.0
2019,Canada,Other metal ore mining [21229],"Light Fuel Oil, quantity purchased (litres)",Litres,
2019,Canada,Other metal ore mining [21229],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Other metal ore mining [21229],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Other metal ore mining [21229],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Other metal ore mining [21229],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,515393660.0
2019,Canada,Other metal ore mining [21229],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Other metal ore mining [21229],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Other metal ore mining [21229],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Uranium ore mining [212291],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Uranium ore mining [212291],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,Uranium ore mining [212291],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,Uranium ore mining [212291],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Gasoline - motor, quantity purchased (litres)",Litres,166000.0
2019,Canada,Uranium ore mining [212291],"Kerosene, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Diesel fuel, quantity purchased (litres)",Litres,1375000.0
2019,Canada,Uranium ore mining [212291],"Light Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Heavy Fuel Oil, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Propane, quantity purchased (litres)",Litres,
2019,Canada,Uranium ore mining [212291],"Butane, quantity purchased (litres)",Litres,0.0
2019,Canada,Uranium ore mining [212291],"Electricity, quantity purchased (kilowatt-hour)",Kilowatt-hours,
2019,Canada,Uranium ore mining [212291],"Steam, quantity purchased (gigajoules)",Gigajoules,0.0
2019,Canada,Uranium ore mining [212291],"Wood, quantity purchased (metric tonnes)",Metric tonnes,0.0
2019,Canada,Uranium ore mining [212291],"Water, quantity purchased (litres)",Litres,0.0
2019,Canada,All other metal ore mining [212299],"Coal, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,All other metal ore mining [212299],"Petroleum coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,All other metal ore mining [212299],"Coke, quantity purchased (tonnes)",Tonnes,0.0
2019,Canada,All other metal ore mining [212299],"Natural gas, quantity purchased (cubic metres)",Cubic metres,0.0
2019,Canada,All other metal ore mining [212299],"Gasoline - aviation, quantity purchased (litres)",Litres,0.0
2019,Canada,All other metal ore mining [212299],"Gasoline - motor, quantity purchased (litres)",Litres,579120.0
