Entity,Code,Year,production|Tin|Smelter|tonnes
Vietnam,VNM,1999,1693
Vietnam,VNM,2000,1803
Vietnam,VNM,2001,1728
Vietnam,VNM,2002,1565
Vietnam,VNM,2003,1915
Vietnam,VNM,2004,2356
Vietnam,VNM,2005,2510
Vietnam,VNM,2006,2665
Vietnam,VNM,2007,3369
Vietnam,VNM,2008,3583
Vietnam,VNM,2009,2747
Vietnam,VNM,2010,3042
Vietnam,VNM,2011,3900
Vietnam,VNM,2012,3095
Vietnam,VNM,2013,4961
Vietnam,VNM,2014,4688
Vietnam,VNM,2015,5500
Vietnam,VNM,2016,5500
Vietnam,VNM,2017,5500
Vietnam,VNM,2018,5500
Vietnam,VNM,2019,5500
Vietnam,VNM,2020,5500
Vietnam,VNM,2021,5500
Vietnam,VNM,2022,5500
West Germany,OWID_GFR,1970,1195
West Germany,OWID_GFR,1971,1169
West Germany,OWID_GFR,1972,859
West Germany,OWID_GFR,1973,1038
West Germany,OWID_GFR,1974,1384
West Germany,OWID_GFR,1975,1306
West Germany,OWID_GFR,1976,1449
West Germany,OWID_GFR,1977,2897
West Germany,OWID_GFR,1978,3241
West Germany,OWID_GFR,1979,2488
West Germany,OWID_GFR,1980,638
West Germany,OWID_GFR,1981,562
Zimbabwe,ZWE,1970,600
Zimbabwe,ZWE,1971,600
Zimbabwe,ZWE,1972,600
Zimbabwe,ZWE,1973,600
Zimbabwe,ZWE,1974,600
Zimbabwe,ZWE,1975,600
Zimbabwe,ZWE,1976,800
Zimbabwe,ZWE,1977,880
Zimbabwe,ZWE,1978,912
Zimbabwe,ZWE,1979,949
Zimbabwe,ZWE,1980,934
Zimbabwe,ZWE,1981,1157
Zimbabwe,ZWE,1982,1197
Zimbabwe,ZWE,1983,1235
Zimbabwe,ZWE,1984,1209
Zimbabwe,ZWE,1985,1207
Zimbabwe,ZWE,1986,1079
Zimbabwe,ZWE,1987,1037
Zimbabwe,ZWE,1988,855
Zimbabwe,ZWE,1989,849
Zimbabwe,ZWE,1990,839
Zimbabwe,ZWE,1991,797
Zimbabwe,ZWE,1992,716
Zimbabwe,ZWE,1993,658
Zimbabwe,ZWE,1994,82
