DEPOSIT_GROUP,DEPOSIT_TYPE,PRIMARY_COMMODITIES,count,countries
Komatiite,Komatiite Ni-Cu-PGE,"Ni, Co, PGE, Cu",15,AUS
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Ni, Cu",15,AUS
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Ni, Cu, Co",45,AUS
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Fe-Ti-V,"Ni, Cu, Co, Pd",1,AUS
Komatiite,Komatiite Ni-Cu-PGE,"Ni, Cu, Co, PGE",6,AUS
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Ni, Cu, Co, PGE",3,AUS
Ultramafic and (or) mafic conduit,U-M conduit Ni-Cu-PGE,"Ni, Cu, Pd, Au, Pt, Co",3,USA
Ultramafic and (or) mafic intrusion,Impact U-M intrusion Ni-Cu-PGE,"Ni, Cu, PGE",3,CAN
Ultramafic and (or) mafic intrusion,U-M intrusion Ni-Cu-PGE,"Ni, Cu, PGE, Pd, Pt, Co, Ir",5,AUS
Komatiite,Komatiite Ni-Cu-PGE,"Ni, PGE, Cu, Co",3,AUS
Mississippi Valley-type (MVT),MVT Zn-Pb,Pb,22,"AUS, USA"
Replacement,Replacement Zn-Pb,Pb,1,USA
Replacement,Replacement polymetallic,Pb,1,USA
Sediment-hosted,Siliciclastic-mafic Zn-Pb,Pb,24,AUS
Vein,Vein polymetallic,Pb,1,USA
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Pb, Ag",1,USA
Replacement,Replacement Cu,"Pb, Ag, Cu, Zn",1,USA
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Pb, Ag, Zn",4,"AUS, USA"
Sediment-hosted,Siliciclastic-mafic Zn-Pb,"Pb, Ag, Zn",12,AUS
Replacement,Replacement polymetallic,"Pb, Au, Ag, Zn",1,USA
Orogenic,Orogenic Cu ± Au,"Pb, Au, Cu, Zn, Ag",9,AUS
unknown,unknown,"Pb, Co, Ag, Ni, Zn, Cu",3,AUS
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Pb, Cu, Sb, Ag, Cd, Zn",6,AUS
Mississippi Valley-type (MVT),MVT Zn-Pb,"Pb, Zn",36,"CHN, ESP, IND, LAO, POL, THA, USA"
Replacement,Replacement polymetallic,"Pb, Zn",1,MMR
Sediment-hosted,Irish-type sediment-hosted Zn-Pb,"Pb, Zn",24,"IRL, TUR"
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Pb, Zn",11,"DEU, ZAF"
Mississippi Valley-type (MVT),MVT Zn-Pb,"Pb, Zn, Ag",9,AUS
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Pb, Zn, Ag",3,USA
Sediment-hosted,Irish-type sediment-hosted Zn-Pb,"Pb, Zn, Ag",12,IRL
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Pb, Zn, Ag",12,IDN
Skarn,Skarn Zn-Pb-Ag,"Pb, Zn, Ag, Au",3,USA
Vein,Vein polymetallic,"Pb, Zn, Ag, Au",1,USA
Replacement,Replacement polymetallic,"Pb, Zn, Ag, Au, Cu",3,USA
Skarn,Skarn Zn-Pb-Ag,"Pb, Zn, Cu, Ag, Fl",1,MEX
Epithermal,LS epithermal Au-Ag,PGE,7,AUS
Orogenic,Mesozonal orogenic Au,"PGE, Au",6,RUS
Ultramafic and (or) mafic intrusion,Arc U-M intrusion Ni-Cu-PGE,"PGE, Au, Cu",2,USA
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion PGE,"PGE, Co, Ni, Au, Cu",9,ZAF
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion PGE,"PGE, Cu, Ni, Au, Pd, Pt, Rh",16,AUS
Phosphorite,Phosphorite,Phos,2,AUS
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion PGE,"Pt, Ni, Pd",51,AUS
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Cr,"Pt, Pd, Au",1,BRA
Carbonatite,Carbonatite REE,REE,108,USA
Peralkaline igneous,Peralkaline igneous HFSE-REE,REE,1,USA
Laterite,Carbonatite laterite REE,"REE, Fe",12,CHN
Apatite intrusion,Apatite intrusion REE,REO,1,AUS
Peralkaline igneous,Peralkaline igneous HFSE-REE,REO,3,AUS
Skarn,Skarn U-REE,"REO, U, U3O8",4,AUS
Peralkaline igneous,Peralkaline igneous HFSE-REE,"REO, Zr",2,AUS
Epithermal,LS epithermal Au-Ag,Sb,2,USA
Orogenic,Epizonal orogenic Sb ± gold,Sb,1,AUS
unknown,unknown,Sb,3,DEU
Orogenic,Hypozonal orogenic Au,"Sb, Au",9,MLI
Orogenic,Mesozonal orogenic Au,"Sb, Au",6,"NZL, USA"
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Sb, Au",1,USA
Epithermal,unknown,Si,4,USA
Greisen,"Greisen Sn ± W, Mo",Sn,21,"AUS, DEU, ZAF"
Replacement,Replacement Sn,Sn,15,"AUS, IDN"
Replacement,Replacement tin,Sn,1,AUS
Skarn,Skarn Sn,Sn,3,AUS
Skarn,Skarn Sn ± Cu ± Mo,Sn,1,AUS
Replacement,Replacement Sn,"Sn, Cu",14,AUS
Vein,Vein Sn,"Sn, Cu",1,AUS
Greisen,"Greisen Sn ± W, Mo","Sn, Fe, Cu, F",3,ZAF
Vein,Vein Sn,"Sn, SnO2",2,AUS
Vein,Vein Sn,"Sn, W",9,"MMR, ZAF"
Greisen,"Greisen Sn ± W, Mo","Sn, W, Cu",4,AUS
Porphyry,Porphyry Sn,"Sn, W, Pb, Zn, Cu",3,JPN
Greisen,"Greisen Sn ± W, Mo","Sn, W, WO3",2,AUS
Pegmatite,Simple pegmatite,"Sn, W, WO3",1,AUS
Pegmatite,LCT pegmatite,"Ta, Li",3,NAM
Peralkaline igneous,Peralkaline igneous HFSE-REE,"Ti, Fe, V",13,USA
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Ni-Cu-PGE,"Ti, Fe, V",3,RUS
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Ni-Cu-PGE,"Ti, V",9,AUS
Carbonatite,Carbonatite REE,TREO,5,USA
Alkali-calcic,Albitite-hosted U,U,19,AUS
Collapse breccia pipe,Collapse breccia pipe uranium,U,74,USA
Unconformity-related,Unconformity-related U,U,3,AUS
Placer,Paleoplacer heavy mineral sands,"U, Au",12,ZAF
Unconformity-related,Unconformity-related U,"U, Au",10,AUS
Unconformity-related,Unconformity-related U,"U, Au, U3O8",39,AUS
Alkali-calcic,Albitite-hosted U,"U, U3O8, Cu",1,AUS
Alkali-calcic,Albitite-hosted U,"U3O8, U",12,AUS
Unconformity-related,Unconformity-related U,"U3O8, U",45,AUS
IOCG,Magnetite-dominant IOCG,UN,12,"BRA, CHL"
Mississippi Valley-type (MVT),MVT Zn-Pb,UN,6,CHE
Orogenic,Mesozonal orogenic Au,UN,12,BRA
Skarn,Skarn W ± Mo,UN,12,MMR
Skarn,Skarn Zn-Pb-Ag,UN,9,CHN
Ultramafic and (or) mafic conduit,U-M conduit Ni-Cu-PGE,UN,6,CHN
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,UN,3,JPN
Volcanogenic massive sulfide (VMS),Mafic-ultramafic VMS,UN,3,FJI
unknown,unknown,UN,6,DEU
Skarn,Skarn Cu,unknown,1,JPN
Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion Ni-Cu-PGE,"V, Ti, Fe",3,ZAF
Laterite,Carbonatite laterite REE,Vrm,1,AUS
Vein,Vein W,W,2,USA
Skarn,Skarn W ± Mo,"W, Bi, Cu, F",3,VNM
Greisen,"Greisen Sn ± W, Mo","W, Bi, Mo, WO3",4,AUS
Porphyry,Porphyry Sn,"W, Pb, Sb, Zn, Bi, Cu, Sn, Ag",3,BOL
Porphyry,Porphyry Sn,"W, Sn, Cu, Ag, Zn",7,PRT
Porphyry,Porphyry Au ± Cu,Wo,1,MEX
Greisen,"Greisen Sn ± W, Mo",WO3,8,AUS
Vein,Vein W,"WO3, Sn, W",19,AUS
Mississippi Valley-type (MVT),MVT Zn-Pb,Zn,25,"AUS, THA, USA"
Non-sulfide,Non-sulfide Zn-Pb ± Mn,Zn,12,"AUS, USA"
Porphyry,Porphyry Cu-Mo,Zn,1,USA
Replacement,Replacement Cu,Zn,1,USA
Replacement,Replacement polymetallic,Zn,2,USA
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,Zn,11,"AUS, USA"
Skarn,Skarn Cu,Zn,2,USA
Skarn,Skarn Zn-Pb-Ag,Zn,3,USA
Replacement,Replacement polymetallic,"Zn, Ag, Cu, Au",4,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Ag, Cu, Pb",9,NAM
Epithermal,Intermediate-sulfidation (IS) epithermal Ag-Au,"Zn, Ag, Pb",3,AUS
Sediment-hosted,Irish-type sediment-hosted Zn-Pb,"Zn, Ag, Pb",15,THA
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Zn, Ag, Pb",9,PAK
Skarn,Skarn Zn-Pb-Ag,"Zn, Ag, Pb",12,"NAM, SRB"
Skarn,Skarn Zn-Pb-Ag,"Zn, Ag, Pb, Au, Cd",1,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Au, Cu, Ag, Pb",3,AUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Zn, Au, Pb",1,USA
Skarn,Skarn Zn-Pb-Ag,"Zn, Cu",1,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Cu",6,RUS
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Zn, Cu",14,"AUS, RUS, SAU, USA"
Volcanogenic massive sulfide (VMS),Bimodal-mafic VMS,"Zn, Cu, Ag",9,AUS
Volcanogenic massive sulfide (VMS),Mafic-siliciclastic VMS,"Zn, Cu, Ag, Au, Pb, Brt",1,USA
Replacement,Replacement Cu,"Zn, Cu, Ag, Pb",1,USA
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Zn, Cu, Ag, Pb",15,ZAF
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Cu, Au, Ag, Pb",9,"GBR, JPN"
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Cu, Pb",70,AUS
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Cu, Pb, Ag",27,AUS
Mississippi Valley-type (MVT),MVT Zn-Pb,"Zn, Dol, Cd",3,USA
Replacement,Replacement polymetallic,"Zn, In, Pb",9,VNM
Epithermal,LS epithermal Au-Ag,"Zn, Pb",1,USA
Mississippi Valley-type (MVT),MVT Zn-Pb,"Zn, Pb",39,"AUS, TUN, USA"
Mississippi Valley-type (MVT),Sandstone-hosted Zn-Pb,"Zn, Pb",18,"CHN, GAB"
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Zn, Pb",6,"AUS, USA"
Replacement,Replacement polymetallic,"Zn, Pb",1,MEX
Sediment-hosted,Irish-type sediment-hosted Zn-Pb,"Zn, Pb",6,CHN
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Zn, Pb",122,AUS
Sediment-hosted,Siliciclastic-mafic Zn-Pb,"Zn, Pb",28,"AUS, IND, SWE"
Skarn,Skarn Zn-Pb-Ag,"Zn, Pb",5,"JPN, MEX"
Mississippi Valley-type (MVT),MVT Zn-Pb,"Zn, Pb, Ag",6,AUS
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Zn, Pb, Ag",5,USA
Sediment-hosted,Siliciclastic-carbonate Zn-Pb,"Zn, Pb, Ag",9,IND
Sediment-hosted,Siliciclastic-mafic Zn-Pb,"Zn, Pb, Ag",2,AUS
Skarn,Skarn Zn-Pb-Ag,"Zn, Pb, Ag",3,GRC
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Pb, Ag, Au",18,AUS
Orogenic,Orogenic Ag-Pb-Zn-Cu-Sb,"Zn, Pb, Au, Cu, Ag",3,USA
Porphyry,Porphyry Cu-Mo,"Zn, Pb, Cu",1,USA
Skarn,Skarn Au ± Cu ± W,"Zn, Pb, Cu",1,USA
Skarn,Skarn Cu,"Zn, Pb, Cu",1,USA
Skarn,Skarn Fe,"Zn, Pb, Cu",1,USA
Skarn,Skarn Zn-Pb-Ag,"Zn, Pb, Cu",9,USA
Volcanogenic massive sulfide (VMS),Bimodal-felsic VMS,"Zn, Pb, Cu",3,JPN
Mississippi Valley-type (MVT),MVT Zn-Pb,"Zn, S, Cd, Pb",6,ZMB
