Commodity,Deposit Type,Count,Countries
Graphite,Crystalline Graphite,84,"Argentina, Australia, Austria, Brazil, Canada, China, Czech Republic, India, Kenya, Madagascar, Mexico, North Korea, Norway, Russia, South Africa, South Korea, Sri Lanka, Ukraine, United States of America, Uzbekistan, Zimbabwe"
Graphite,Flake Graphite,2,"Czech Republic, Ukraine"
Graphite,Flake and Crystalline Graphite,1,United States of America
Gypsum,Sedimentary,26,"Algeria, Argentina, Bhutan, Brazil, Canada, Czech Republic, Egypt, France, Germany, Libya, Mexico, Mongolia, Russia, Ukraine"
gypsum,Sedimentary,7,United States
Gypsum-halite-potassium,Sedimentary,1,Laos
Halite,Sedimentary,57,"Algeria, Argentina, Belarus, Bosnia-Herzegovina, Brazil, Canada, China, Egypt, France, Germany, Italy, Kazakhstan, Mexico, Mongolia, Morocco, Netherlands, Pakistan, Poland, Russia, Saudi Arabia, Spain, Tajikistan, Turkmenistan, Ukraine, United Kingdom"
Halite,Surficial,5,"Germany, Netherlands"
halite (salt),Sedimentary,6,United States
"halite (salt), gypsum",Sedimentary,1,United States
"halite (salt), gypsum, magnesia, bromine",Sedimentary,1,United States
"halite (salt), gypsum, potash, bromine, iodine, magnesia",Sedimentary,1,United States
"halite (salt), potash",Sedimentary,3,United States
Halite-gypsum,Sedimentary,1,Australia
Halite-potassium,Sedimentary,6,"Pakistan, Thailand"
halloysite (clay mineral with tube-like crystals),Hydrothermal,1,United States
halloysite (clay mineral with tube-like crystals),Surficial,1,United States
hectorite (lithium-rich clay mineral),Hydrothermal,2,United States
Indium,Kipushi Zn-Pb-Cu,2,United States of America
Indium,Pb-Zn-Ag-In Vein,1,Japan
Indium,Polymetallic Sn veins,16,"Argentina, Bolivia"
Indium,Volcanogenic Massive Sulfide,4,South Africa
Indium,Zn-Cu Skarn,1,United States of America
iodine,Sedimentary,1,United States
"Iodine, nitrate",Sedimentary,1,Chile
"Iodine, sodium sulfate, nitrate",Sedimentary,1,Chile
Iron,Hydrothermal,40,"Algeria, Chile, Iran, Kazakhstan, Mexico, Russia, Saudi Arabia, Slovakia, Zambia"
Iron,Igneous,18,"Angola, Azerbaijan, China, Kyrgyzstan, Russia, Sweden, Uzbekistan"
Iron,Metamorphic,13,"Cambodia, China, Korean Peninsula, Laos, Mongolia, Peru, Vietnam"
Iron,Sedimentary,117,"Algeria, Angola, Argentina, Australia, Austria, Belarus, Benin, Brazil, Cameroon, Canada, China, Côte DIvoire, Egypt, France, Gabon, Germany, Guinea, India, Iran, Kalaallit Nunaat (Greenland), Kazakhstan, Liberia, Libya, Luxenbourg, Mauritania, Nigeria, Romania, Russia, Sierra Leone, South Africa, Spain, Swaziland, Tunisia, Ukraine, United Kingdom, Venezuela, Zambia, Zimbabwe"
Iron,Surficial,2,"Georgia, Guinea"
Iron,Unclassified,18,"Afghanistan, Algeria, Morocco, Nigeria, Pakistan, South Africa, Tunisia"
iron,Hydrothermal,4,United States
iron,Sedimentary,29,United States
"Iron, Copper",Sedimentary,1,Algeria
"Iron, copper, gold",Hydrothermal,1,Brazil
"Iron, Lead",Unclassified,1,Algeria
"Iron, Manganese",Sedimentary,3,"Algeria, Zambia, Zimbabwe"
"Iron, Manganese",Unclassified,1,South Africa
"Iron, Phosphate",Hydrothermal,1,Iran
"Iron, Phosphate",Unclassified,1,Kenya
"Iron, titanium, vanadium",Igneous,2,Canada
"Iron, Vanadium, Titanium",Igneous,1,South Africa
Iron-copper,Metamorphic,1,Japan
Iron-molybdenum,Metamorphic,1,Korean Peninsula
Iron-strontium,Igneous,1,Korean Peninsula
Iron-tantalum,Surficial,1,New Zealand
Iron-tantalum-vanadium,Igneous,1,China
Iron-tungsten,Metamorphic,1,China
Iron-zinc-cadmium,Igneous,1,China
Jade,Gemstone,3,Burma
Kaolin,Hydrothermal,3,United Kingdom
Kaolin,Sedimentary,5,"Germany, Ukraine, United Kingdom"
Kaolin,Surficial,5,"Czech Republic, Surinam"
kaolin,Surficial,5,United States
"kaolin, bauxite",Surficial,2,United States
Kaolinite,Sedimentary,4,"Brazil, Canada"
Kunzite,Igneous,1,Afghanistan
Lapis Lazuli,Gemstone,1,Afghanistan
Lead,Hydrothermal,42,"Algeria, Armenia, Bulgaria, Georgia, Italy, Kazakhstan, Kenya, Morocco, Romania, Russia, Serbia and Montenegro, Spain, Sweden, Tunisia, Ukraine, Uzbekistan"
Lead,Igneous,3,"Russia, Uzbekistan"
Lead,Sedimentary,16,"Belgium, Germany, India, Kazakhstan, Poland, Spain"
"Lead, Silver, Barite",Hydrothermal,1,Morocco
"Lead, Silver, Copper",Hydrothermal,1,Morocco
"Lead, Silver, Zinc",Hydrothermal,1,Morocco
"Lead, silver, zinc",Hydrothermal,1,Mexico
"Lead, Zinc",Hydrothermal,21,"Algeria, Congo (Brazzaville), Egypt, Morocco, Saudi Arabia, South Africa, Tunisia"
"Lead, zinc",Hydrothermal,1,Canada
"Lead, zinc",Sedimentary,1,Brazil
"lead, zinc",Hydrothermal,2,United States
"Lead, Zinc, Copper, Silver",Hydrothermal,3,"Morocco, South Africa"
"Lead, Zinc, Copper, Silver, Barite",Hydrothermal,1,Iran
"Lead, Zinc, Copper, Vanadium",Hydrothermal,1,Congo (Brazzaville)
"Lead, Zinc, Silver",Hydrothermal,4,"Morocco, Zambia"
"lead, zinc, silver",Hydrothermal,2,United States
"lead, zinc, silver, copper",Hydrothermal,1,United States
"Lead, Zinc, Vanadium, Silver",Hydrothermal,1,Zambia
Lead-zinc,Hydrothermal,4,China
Lead-zinc,Metamorphic,2,China
Lead-zinc-barite,Hydrothermal,1,Pakistan
Lead-zinc-nickel-cobalt,Hydrothermal,1,Burma
Lead-zinc-silver,Hydrothermal,4,"Australia, China, Japan"
Lead-zinc-silver-strontium,Hydrothermal,1,China
Lead-zinc-tin,Hydrothermal,1,China
Limestone,Sedimentary,26,"Algeria, Argentina, Canada, Chile, Egypt, France, Germany, Hungary, Libya, Mexico, Nigeria, Poland, Sweden, Ukraine, United Kingdom"
Limestone (dolomite),Sedimentary,2,"Egypt, South Africa"
"Limestone (dolomite), Soda ash",Sedimentary,1,Libya
Limestone (marble),Sedimentary,4,"Algeria, Namibia"
"Limestone (marble, dolomite)",Sedimentary,1,Mozambique
"Limestone, Limestone (marble)",Sedimentary,1,Malawi
Lithium,Hydrothermal,1,Portugal
Lithium,Igneous,7,"Australia, Brazil, Mali, Mozambique, Namibia, Russia"
lithium,Igneous,1,United States
Lithium,Li Basin Brines,18,"Argentina, Bolivia, Chile, China, Israel, Tibet, United States of America"
Lithium,Li-Clay,1,United States of America
Lithium,Pegmatite,74,"Afghanistan, Argentina, Australia, Austria, Brazil, Burundi, Canada, China, Czech Republic, Finland, France, Ghana, Ireland, Italy, Madagascar, Mauritania, Mozambique, Namibia, Nigeria, Portugal, Russia, Rwanda, South Africa, Sweden, United States of America"
lithium mica,Igneous,1,United States
"Lithium, boron",Sedimentary,2,"Argentina, Bolivia"
"Lithium, Columbium (Niobium), Tantalum",Igneous,1,Namibia
"Lithium, Columbium (Niobium), Tin",Igneous,1,Congo (Kinshasa)
"Lithium, potash",Sedimentary,1,Chile
"lithium, potash",Sedimentary,1,United States
"lithium, potash, sodium carbonate, boron",Sedimentary,1,United States
"Lithium, REE, Tantalum, Clay (Kaolin), Tin",Igneous,1,Zimbabwe
"Lithium, Tantalum",Igneous,1,Mozambique
"Lithium, Tantalum, Columbium (Niobium)",Igneous,1,Uganda
"Lithium, tantalum, rubidium",Igneous,1,Canada
"Lithium, Tantalum, Tin",Igneous,1,Congo (Kinshasa)
Lithium; Beryllium,Be Type Rare-Metal Pegmatite,3,"United States of America, Zimbabwe"
Lithium; Beryllium,Pegmatite,4,"Democratic Republic of the Congo, England, Finland, United States of America"
Lithium; Niobium and Tantalum,Li-Cs-Ta type pegmatite,1,China
Lithium-tantalum,Igneous,1,Afghanistan
magnesia,Sedimentary,1,United States
"Magnesia, sodium sulfate",Sedimentary,1,Mexico
Magnesite,Igneous,1,New Zealand
Magnesite,Metamorphic,5,"Brazil, Canada"
Magnesite,Sedimentary,6,"Australia, China"
"Magnesite, talc",Metamorphic,2,Brazil
Magnesite-talc,Igneous,1,Afghanistan
Magnesite-talc,Unclassified,1,Nepal
Magnesium,Hydrothermal,14,"Austria, Egypt, Greece, Russia, Slovakia, South Africa, Spain"
Magnesium,Igneous,1,Tanzania
Magnesium,Sedimentary,2,"Iran, Slovakia"
Magnesium,Unclassified,1,Tanzania
"Magnesium, Gem (peridot)",Igneous,1,Tanzania
"Magnesium, Gem (ruby)",Metamorphic,1,Tanzania
"Magnesium, Potash",Sedimentary,1,Congo (Brazzaville)
Manganese,Hydrothermal,1,Egypt
Manganese,Igneous,2,Mongolia
Manganese,Sedimentary,22,"Botswana, Bulgaria, Burkina Faso, Côte DIvoire, Georgia, Ghana, Hungary, India, Mexico, Namibia, Russia, South Africa, Ukraine"
Manganese,Surficial,8,"Brazil, Congo (Kinshasa), Gabon, Ghana, Ukraine"
Manganese,Unclassified,13,"Kenya, Morocco, South Africa"
Manganese,Deposit type unclassified,7,United States of America
Manganese,Marine sedimentary,3,China
Manganese,Marine sedimentary Mn,14,"Australia, Brazil, Bulgaria, China, Georgia, Hungary, India, Mexico, Morocco, South Africa, Ukraine"
Manganese,Secondary enrichment,11,"Brazil, Burkina Fasso, Gabon, Ghana, India, South Africa"
"Manganese, Barite",Sedimentary,1,Morocco
"Manganese, Iron",Sedimentary,9,"Egypt, Ghana, Mali, South Africa, Zambia"
"Manganese, Lead",Sedimentary,1,Morocco
Manganese-zinc-lead,Hydrothermal,1,Japan
Mercury,Hydrothermal,15,"Algeria, Japan, Kyrgyzstan, Russia, Slovenia, South Africa, Spain, Tajikistan"
"Mercury, Arsenic",Hydrothermal,1,Zimbabwe
"Mica, phlogopite",Igneous,1,Canada
"mica,feldspathic sand",Igneous,1,United States
Molybdenum,Hydrothermal,5,"Canada, China, Mongolia, Norway, Russia"
Molybdenum,Igneous,12,"Kalaallit Nunaat (Greenland), Kazakhstan, Russia, Tajikistan"
molybdenum,Hydrothermal,10,United States
"molybdenum, copper",Hydrothermal,3,United States
"Molybdenum, Copper, Lead, Zinc, Gold",Hydrothermal,1,Sierra Leone
Muscovite,Metamorphic,1,Kazakhstan
Nepheline syenite,Igneous,2,"Brazil, Canada"
nepheline syenite,Igneous,1,United States
Nickel,Hydrothermal,1,Finland
Nickel,Igneous,9,"Finland, Norway, Russia, Zimbabwe"
Nickel,Surficial,10,"Albania, Colombia, Dominican Republic, Greece, Guatemala, Kazakhstan, Macedonia, Venezuela"
"Nickel, Chromium",Igneous,3,"Ethiopia, Madagascar, South Africa"
"Nickel, Chromium, Copper, PGE",Igneous,1,South Africa
"Nickel, Cobalt",Surficial,1,Côte DIvoire
"Nickel, cobalt",Surficial,5,"Brazil, Cuba"
"Nickel, Cobalt, Chromium, Titanium",Igneous,1,Madagascar
"Nickel, Cobalt, Copper",Igneous,1,Zimbabwe
"Nickel, Cooper, PGE",Igneous,1,Botswana
"Nickel, Copper",Igneous,1,Zimbabwe
"Nickel, Copper",Unclassified,1,Ethiopia
"Nickel, Copper, Cobalt",Igneous,4,"Botswana, Zimbabwe"
"Nickel, copper, cobalt",Igneous,1,Canada
"Nickel, Copper, Cobalt, PGE",Surficial,1,Burundi
"Nickel, Copper, Gold, Silver",Igneous,1,South Africa
"Nickel, Copper, PGE",Igneous,2,"Botswana, Zimbabwe"
"Nickel, copper, platinum, palladium",Igneous,3,Canada
"Nickel, copper, platinum, palladium, cobalt",Igneous,7,Canada
"Nickel, Iron, Copper",Unclassified,1,Egypt
Nickel-copper,Igneous,4,"Australia, China"
Nickel-copper-cobalt,Surficial,14,"Australia, Burma, India, Indonesia, New Caledonia, Philippines"
Niobium,Igneous,3,"Kalaallit Nunaat (Greenland), Russia"
niobium,Igneous,1,United States
Niobium and Tantalum,Alkaline granite and syenite,8,"Brazil, Malawi, Mongolia, Morocco, Russia, Saudi Arabia, South Africa"
Niobium and Tantalum,Carbonatite,8,"Angola, Brazil, Canada, Finland, Russia"
Niobium and Tantalum,Lithium-Cesium-Tantalum type pegmatite,13,"Australia, Democratic Republic of the Congo, Mozambique, Namibia, Nigeria, Zimbabwe"
Niobium and Tantalum,Rare-metal granite,7,"China, Egypt, Russia"
Niobium and Tantalum; Barite; Rare-Earth Elements,"Carbonatite; Vein, cavity-fill, metasomatic",1,Brazil
Niobium and Tantalum; Beryllium,Lithium-Cesium-Tantalum type pegmatite,1,Russia
Niobium and Tantalum; Beryllium; Lithium,Be Type Rare-Metal Pegmatite; Li-Cs-Ta type pegmatite,1,Canada
Niobium and Tantalum; Beryllium; Lithium,Li-Cs-Ta type pegmatite,1,Brazil
Niobium and Tantalum; Beryllium; Lithium,Rare-metal granite; Non-pegmatite; Li-Cs-Ta type pegmatite,1,France
Niobium and Tantalum; Lithium,Li-Cs-Ta type pegmatite,1,Ethiopia
Niobium and Tantalum; Lithium,Rare-metal granite; Li-Cs-Ta type pegmatite,1,China
Niobium and Tantalum; Rare-Earth Elements,Alkaline granite and syenite; Peralkaline,1,Australia
Niobium and Tantalum; Rare-Earth Elements,Carbonatite,2,"China, United States of America"
Niobium and Tantalum; Rare-Earth Elements; Beryllium,Peralkaline intrusion Be,1,Greenland
Niobium and Tantalum; Tin,Rare-metal granite; Sn greisen,1,United States of America
Niobium and Tantalum; Titanium,Carbonatite; Alkalic/metasomatized,1,United States of America
Niobium and Tantalum; Titanium,Carbonatite; Weathered alkalic rocks,1,Brazil
"niobium, rare earth elements, barium, fluorite, phosphorus, titanium",Igneous,1,United States
"niobium, rare earth elements, phosphorus, fluorine, strontium",Igneous,1,United States
"niobium, tantalum",Igneous,1,Canada
Niobium-zirconium,Metamorphic,1,Mongolia
Olivine,Metamorphic,2,Norway
olivine,Metamorphic,2,United States
Opal,Gemstone,1,Australia
"palladium, platinum",Igneous,2,United States
"Palladium, platinum, gold",Igneous,1,Canada
Perlite,Igneous,4,"Hungary, Italy, Macedonia, Slovakia"
Perlite,Unclassified,1,China
perlite,Unclassified,1,United States
PGE,Igneous,12,"South Africa, Zimbabwe"
PGE,Surficial,7,"Sierra Leone, South Africa"
"PGE,",Igneous,1,South Africa
"PGE, Chromium, Gold, Nickel",Igneous,1,South Africa
"PGE, Chromium, Nickel, Copper, Gold",Igneous,1,South Africa
"PGE, Copper",Igneous,2,South Africa
"PGE, Copper",Unclassified,1,Zimbabwe
"PGE, Copper, Nickel",Igneous,2,South Africa
"PGE, Copper, Nickel, Gold",Igneous,2,South Africa
"PGE, Gold",Unclassified,1,South Africa
"PGE, Gold, Copper, Nickel",Igneous,2,South Africa
"PGE, Gold, Nickel, Copper",Igneous,1,South Africa
"PGE, Nickel, Copper",Igneous,2,South Africa
"PGE, Nickel, Copper, Cobalt, Gold",Igneous,1,South Africa
"PGE, Nickel, Copper, Gold",Igneous,2,"South Africa, Zimbabwe"
"PGE, Nickel, Copper, Gold, Chromium, Molybdenum, Lead",Igneous,1,South Africa
"PGE, Vanadium",Igneous,1,South Africa
Phosphate,Hydrothermal,1,Brazil
Phosphate,Igneous,6,"Brazil, Namibia, Russia, Spain"
Phosphate,Sedimentary,69,"Algeria, Belarus, Burkina Faso, Egypt, Finland, Iran, Iraq, Jordan, Kazakhstan, Mexico, Morocco, Niger, Peru, Russia, Saudi Arabia, Senegal, South Africa, Syria, Tanzania, Togo, Tunisia, Uzbekistan, Western Sahara"
Phosphate,Surficial,1,Somalia
phosphate rock,Sedimentary,39,United States
phosphate rock,Surficial,1,United States
"Phosphate, calcium carbonate, niobium, titanium, zirconium",Igneous,1,Brazil
"Phosphate, Columbium (Niobium), Iron, Zirconium, Limestone",Igneous,1,Uganda
"Phosphate, Copper, Barite, Strontium, Fluorspar",Igneous,1,Uganda
"Phosphate, Copper, Vermiculite, Iron, Uranium, Zirconium, Gold, Silver",Igneous,1,South Africa
"Phosphate, Fluorspar",Sedimentary,1,Egypt
"Phosphate, Fluorspar",Unclassified,2,Tunisia
"Phosphate, Fluorspar, Uranium",Sedimentary,2,Morocco
"Phosphate, Iron",Hydrothermal,1,Turkey
"Phosphate, Iron",Igneous,1,Zimbabwe
"Phosphate, Iron, Vermiculite",Igneous,1,South Africa
"Phosphate, niobium",Igneous,1,Brazil
"Phosphate, niobium, titanium, rare earths, vermiculite",Igneous,1,Brazil
"Phosphate, Uranium",Sedimentary,4,"Israel, Jordan"
"Phosphate, Uranium, Aluminum, Iron",Sedimentary,1,Turkey
"Phosphate, Uranium, Fluorspar",Sedimentary,1,Israel
"Phosphate, Vermiculite",Igneous,2,"South Africa, Zimbabwe"
Phosphorous,Igneous,1,Sri Lanka
Phosphorous,Sedimentary,11,"Australia, China, Mongolia, Pakistan"
Phosphorous,Surficial,1,Australia
Phosphorous,Unclassified,3,"China, Mongolia, Vietnam"
Phosphorous-rare earths,Igneous,2,"Afghanistan, Australia"
Phosphorus,Igneous,5,"Kalaallit Nunaat (Greenland), Russia, Ukraine"
"phosphorus, niobium, vermiculite, rare earth elements, thorium, copper, barium",Igneous,1,United States
Platinum,Igneous,4,"Bolivia, Finland, Russia"
Platinum,Surficial,6,Russia
"Platinum, gold",Surficial,1,Colombia
Platinum-Group Elements,Alaskan-Uralian,1,Australia
Platinum-Group Elements,Atypical; pipe-like ore bodies,1,Canada
Platinum-Group Elements,Conduit,21,"Argentina, Australia, Canada, China, Russia, South Africa, United States of America"
Platinum-Group Elements,Contact,46,"Botswana, Canada, Finland, Russia, South Africa, United States of America"
Platinum-Group Elements,Contacts of macrodike,1,Russia
Platinum-Group Elements,Contacts of macrodike and reef,1,Russia
Platinum-Group Elements,Deposit type unclassified,4,"Australia, Colombia, Ethiopia, Russia"
Platinum-Group Elements,Hydrothermal or remobilized,1,Norway
Platinum-Group Elements,Hydrothermal or remobilized (stockwork),1,Norway
Platinum-Group Elements,"Hydrothermal, vein swarm",1,Russia
Platinum-Group Elements,Komatiitic,9,"Canada, Finland, Russia"
Platinum-Group Elements,Laterite,1,Australia
Platinum-Group Elements,Ni-Cu-PGE,8,Russia
Platinum-Group Elements,Offset type,2,Canada
Platinum-Group Elements,Offset type contact,1,Finland
Platinum-Group Elements,Placer,3,"Russia, United States of America"
Platinum-Group Elements,Reef,6,"Finland, Russia, United States of America"
Platinum-Group Elements,"Reef, Sulfide",1,Russia
Platinum-Group Elements,"Reef, Ti-V layers",5,"Finland, Russia, South Africa"
Platinum-Group Elements,"Reef, chromitite",11,"Australia, Brazil, Finland, Russia, South Africa"
Platinum-Group Elements,"Reef, sulfide",15,"Australia, Finland, Greenland, Russia, South Africa, Zimbabwe"
Platinum-Group Elements,Synvolcanic gabbroic body,1,Norway
Platinum-Group Elements; Tellurium,Contact and Reef; Te in Magmatic Cu-Ni-PGM sulfide,1,South Africa
Platinum-Group Elements; Tellurium,"Reef, sulfide; Tellurium in Magmatic Cu-Ni-PGM Sulfide",1,Zimbabwe
Potash,Sedimentary,17,"Canada, China, France, Germany, Jordan, Laos, Libya, Spain, Thailand, Turkmenistan, Ukraine, United Kingdom"
potash,Sedimentary,16,United States
"potash, bromine, iodine, magnesia",Sedimentary,1,United States
"potash, bromine, lithium, magnesia",Sedimentary,1,United States
"Potash, Halite",Sedimentary,2,"Ethiopia, Saudi Arabia"
"Potash, halite",Sedimentary,10,"Argentina, Brazil, Canada"
"potash, magnesia, lithium, sodium sulfate",Sedimentary,1,United States
"Potash, Magnesium, Halite, Bromine",Sedimentary,1,Jordan
"Potash, Soda ash, Magnesium, Bromine",Sedimentary,1,Israel
"potash, sodium sulfate, sodium chloride",Sedimentary,1,United States
Potassium-gypsum-halite,Sedimentary,1,Vietnam
Pumice,Igneous,3,"Greece, Italy"
Pyrophyllite,Hydrothermal,2,"Korean Peninsula, Peru"
Rare,Hydrothermal,1,Kazakhstan
Rare,Igneous,8,"Finland, Kyrgyzstan, Norway, Russia, Ukraine"
Rare earth elements,Igneous,3,Mongolia
Rare earth elements,Unclassified,1,Vietnam
Rare earth elements- tin,Surficial,1,India
"rare earth elements, barium",Igneous,1,United States
"rare earth elements, fluorite",Igneous,1,United States
"rare earth elements, gold, titanium",Surficial,1,United States
"rare earth elements, thorium",Igneous,1,United States
Rare earth elements-iron,Igneous,1,China
Rare-Earth Elements,Carbonatite,17,"Australia, Canada, China, Greenland, Kenya, Malawi, Namibia, South Africa, Tanzania, United States of America"
Rare-Earth Elements,Deposit type unclassified,1,United States of America
Rare-Earth Elements,Heavy-mineral sand,3,"Australia, Brazil, Turkey"
Rare-Earth Elements,Peralkaline igneous,11,"Australia, Canada, Kyrgyzstan, Madagascar, Sweden, United States of America"
Rare-Earth Elements,Polymetallic,4,"Australia, Canada, Kazakhstan, South Africa"
Rare-Earth Elements,REE in clays,5,"China, Vietnam"
Rare-Earth Elements; Beryllium; Niobium and Tantalum,Peralkaline igneous; Non-pegmatite; Alkaline granite and syenite,1,Russia
Rare-Earth Elements; Fluorite,Carbonatite-Related F,1,China
Rare-Earth Elements; Titanium,Heavy-mineral sand; Sedimentary related,1,India
REE,Igneous,4,"Burundi, Kenya, Mauritania, Namibia"
"REE, Copper, Zirconium, Uranium",Igneous,1,South Africa
"REE, Phosphate, Zinc",Igneous,1,Tanzania
"REE, Strontium, Fluorspar, Barite",Igneous,1,Malawi
"REE, Tantalum, Phosphate",Igneous,1,Malawi
Rhenium,Cu-Au,1,Canada
Rhenium,Cu-Zn-Mo skarn,1,Peru
Rhenium,Deposit type unclassified,1,Australia
Rhenium,Porphyry Cu,26,"Armenia, Bulgaria, Canada, China, Iran, Kazakhstan, Mexico, Mongolia, Peru, Russia, Serbia, United States of America"
Rhenium,Porphyry Cu-(Mo-Au),16,"Armenia, Chile, Mexico, Mongolia, Peru, United States of America, Uzbekistan"
Rhenium,Porphyry Cu-Au,10,"Canada, China, Serbia, United States of America"
Rhenium,Porphyry Cu-Mo,16,"Canada, Chile, China, Kazakhstan, Mexico, United States of America"
Rhenium,Porphyry Mo,22,"Canada, China, United States of America"
Rhenium,Reduced-facies stratabound Cu,2,"Germany, Poland"
Rhenium,Roll-front sandstone U,2,"Kazakhstan, Uzbekistan"
Rhenium,Sandstone stratabound Cu,1,Kazakhstan
Rhenium; Titanium,Porphyry Cu-(Mo-Au),1,Chile
Rhenium; Titanium; Tellurium,Porphyry Cu-(Mo-Au),1,United States of America
Rhodochrosite,Hydrothermal,1,Argentina
Ruby,Gemstone,1,Afghanistan
Ruby-spinel-sapphire,Gemstone,1,Pakistan
Sapphire,Gemstone,3,"Cambodia, Laos, Thailand"
Scandium,Hydrothermal,1,Ukraine
Sepiolite,Sedimentary,1,Spain
"sepiolite, bentonite, saponite, hectorite",Sedimentary,1,United States
Silica,Surficial,3,Germany
Silica sand,Surficial,3,"Australia, China, New Zealand"
Sillimanite,Metamorphic,1,China
Silver,Hydrothermal,13,"Bolivia, Botswana, Mexico, Mongolia, Morocco, Norway, Russia, Uzbekistan"
Silver,Igneous,1,Russia
"Silver, cobalt, nickel, copper",Hydrothermal,1,Canada
"Silver, copper, gold",Hydrothermal,1,Mexico
"Silver, copper, gold, antimony",Hydrothermal,1,Canada
"silver, copper, gold, zinc, lead",Hydrothermal,1,United States
"Silver, Copper, Zinc",Hydrothermal,1,Morocco
"silver, copper, zinc",Hydrothermal,1,United States
"Silver, copper, zinc, lead",Hydrothermal,1,Mexico
"Silver, gold",Hydrothermal,9,"Argentina, Chile, Mexico"
"silver, gold, copper",Hydrothermal,1,United States
"Silver, gold, copper, lead",Hydrothermal,1,Mexico
"Silver, gold, copper, lead, zinc",Hydrothermal,1,Mexico
"Silver, gold, lead, zinc",Hydrothermal,1,Mexico
"Silver, gold, lead, zinc, copper",Hydrothermal,1,Mexico
"silver, gold, lead, zinc, copper",Hydrothermal,1,United States
"silver, gold, zinc, lead",Hydrothermal,1,United States
"Silver, gold, zinc, lead, copper",Hydrothermal,1,Mexico
"silver, gold, zinc, lead, copper",Hydrothermal,1,United States
"Silver, lead",Hydrothermal,7,"Argentina, Bolivia, Honduras, Mexico"
"silver, lead",Hydrothermal,1,United States
"Silver, lead, zinc",Hydrothermal,4,"Canada, Mexico"
"silver, lead, zinc",Hydrothermal,5,United States
"silver, lead, zinc",Unclassified,1,United States
"Silver, lead, zinc, copper",Hydrothermal,1,Mexico
"silver, lead, zinc, copper",Hydrothermal,1,United States
"Silver, lead, zinc, copper, gold",Hydrothermal,1,Mexico
"Silver, lead, zinc, gold",Hydrothermal,1,Mexico
"Silver, lead, zinc, gold, copper",Hydrothermal,6,Mexico
"silver, lead, zinc, gold, copper",Hydrothermal,3,United States
"Silver, tin",Hydrothermal,2,"Argentina, Bolivia"
"Silver, zinc",Hydrothermal,1,Bolivia
"Silver, zinc, copper, lead",Hydrothermal,1,Mexico
"silver, zinc, gold, copper, lead",Hydrothermal,1,United States
"Silver, zinc, lead",Hydrothermal,2,Mexico
"Silver, zinc, lead, copper",Hydrothermal,3,Mexico
Silver-antimony,Hydrothermal,2,Mongolia
Silver-gold,Hydrothermal,1,Japan
Silver-gold-copper,Hydrothermal,1,Japan
Silver-gold-lead,Hydrothermal,1,Mongolia
Silver-gold-lead,Metamorphic,1,China
Silver-gold-lead,Unclassified,1,Japan
Soda ash,Sedimentary,6,"Egypt, Kenya, Namibia, Tanzania, Turkey"
"Soda ash, Halite",Sedimentary,1,Botswana
"Soda ash, Potash, Halite",Sedimentary,1,Kenya
"Soda ash, Sodium sulfate",Sedimentary,1,Egypt
Sodium,Sedimentary,3,"Russia, Spain"
Sodium carbonate,Sedimentary,1,Mexico
sodium carbonate,Sedimentary,8,United States
Sodium sulfate,Sedimentary,7,"Algeria, Libya"
"sodium sulfate, halite (salt), gypsum",Sedimentary,1,United States
sodium-bentonite,Sedimentary,2,United States
Strontium,Sedimentary,12,"Algeria, Iran, Kazakhstan, Mexico, Spain, Turkmenistan, Uzbekistan"
Sulfur,Hydrothermal,6,"Chile, Morocco, Poland"
Sulfur,Sedimentary,4,"Iraq, Libya"
sulfur,Sedimentary,1,United States
"Sulfur, Copper",Hydrothermal,1,Zambia
"Sulfur, Copper, Zinc",Hydrothermal,5,Cyprus
Sylvite,Sedimentary,4,"Belarus, Kazakhstan, Russia, Turkmenistan"
Talc,Hydrothermal,2,"Austria, France"
Talc,Igneous,4,"Kazakhstan, Russia"
talc,Hydrothermal,4,United States
"Talc, asbestos",Hydrothermal,1,China
"Talc, asbestos",Igneous,1,China
"Talc, asbestos",Sedimentary,2,China
"Talc, asbestos",Unclassified,1,Australia
"Talc, calcite",Hydrothermal,1,Brazil
Tantalum,Igneous,4,"Kazakhstan, Mozambique, Russia, Zimbabwe"
Tantalum,Metamorphic,1,Mongolia
"Tantalum, Columbium (Niobium)",Igneous,2,"Ethiopia, Mozambique"
"Tantalum, Gem (emerald)",Igneous,1,Mozambique
"Tantalum, lithium, cesium, rubidium",Igneous,1,Canada
"Tantalum-niobium, rare earths, beryllium, zirconium",Igneous,1,Canada
Tellurium,Mississippi Valley-type,1,United States of America
Tellurium,Skarn,6,"Australia, Canada, Indonesia, South Korea, Spain, United States of America"
Tellurium,Te in Carlin-type Au,5,"Iran, United States of America"
Tellurium,Te in Epithermal Au-Ag,24,"Canada, Chile, China, Dominican Republic, Fiji, Papua New Guinea, Philippines, Romania, Russia, Spain, United States of America, Uzbekistan"
Tellurium,Te in Oil Sands,2,United States of America
Tellurium,Te in Orogenic Au,11,"Australia, Canada, Ghana, Kyrgyzstan, Mexico, Russia, United States of America, Zimbabwe"
Tellurium,Te in Porphyry Cu,8,"Bulgaria, Canada, Greece, Puerto Rico, United States of America, Uzbekistan"
Tellurium,Volcanogenic Massive Sulfide,3,"Cyprus, Russia, Sweden"
